Timestamp,Organization,Oracle Usage Category,3. Which specific data do you expect from an oracle? (multiple answers feasible),Blockchain Data,Insurable Events,Registry Data,Time,Exploits,Financial Data,Random Events,Exchange Rates,Sports Events,Other Offchain Data,Oracle Sensors,Expert Knowledge,Signal Events,Convenience,Price,Reliability,Brand Name,Scope of Data,Rating System,Correctness of Data,Order Status,Punctuality,Payment,Pricing,7. What is your preferred way of learning to use an oracle? (multiple answers feasible),Video,Online Chat,Example,Instruction Sheet,Documentation,Nothing,8. What annual growth rate of the market for blockchain information do you anticipate for the next 5-10 years?,50% per annum or more,30% per annum,40% per annum ,20% per annum,10% per annum,Unsure
11/24/2020 12:28,Start-Up,"Maybe, We are unsure","Data from other blockchains (e.g. Bitcoin), Insurable events, Registry data (e.g., land registry), Time",1,1,1,1,0,0,0,0,0,0,0,0,0,5,10,10,5,9,7,10,8,10,Unsure,Depends,"Video, Online chat, Examples",1,1,1,0,0,0,50% p.a. or more,1,0,0,0,0,0
11/26/2020 8:48,Crypto-Company,"No, but clients use","Exchange rates, Data from other blockchains (e.g. Bitcoin), Financial data, Insurable events, Time, exploits",1,1,0,1,1,1,0,1,0,0,0,0,0,8,9,10,0,10,10,10,10,10,Other Cryptocurrency,Depends,"Video, Instruction sheet",1,0,0,1,0,0,more than 50% p.a.,1,0,0,0,0,0
11/26/2020 9:07,Start-Up,"Yes, Want to Use","Data from other blockchains (e.g. Bitcoin), Time",1,0,0,1,0,0,0,0,0,0,0,0,0,9,8,9,4,3,5,10,8,8,Ethereum Advance,0.0005 ETH  =  0.23 USD,"Video, Instruction sheet, Examples",1,0,1,1,0,0,30% p.a.,0,1,0,0,0,0
11/26/2020 12:06,Foundation,"Yes, Want to Use","Data from other blockchains (e.g. Bitcoin), Financial data, Registry data (e.g., land registry), Time",1,0,1,1,0,1,0,0,0,0,0,0,0,10,8,7,3,10,10,8,8,8,Token ,Depends,"Video, Online chat",1,1,0,0,0,0,50% p.a. or more,1,0,0,0,0,0
11/26/2020 12:25,Crypto-Company,"Yes, Already Used","Exchange rates, Registry data (e.g., land registry)",0,0,1,0,0,0,0,1,0,0,0,0,0,7,7,8,5,5,3,9,8,7,Ethereum Advance,0.005 ETH  =  2.28 USD,"Video, Instruction sheet",1,0,0,1,0,0,50% p.a. or more,1,0,0,0,0,0
11/26/2020 13:36,Start-Up,"Yes, Already Used","Exchange rates, Data from other blockchains (e.g. Bitcoin), Financial data",1,0,0,0,0,1,0,1,0,0,0,0,0,10,9,10,2,9,9,10,8,10,Other Cryptocurrency,0.0005 ETH  =  0.23 USD,Instruction sheet,0,0,0,1,0,0,50% p.a. or more,1,0,0,0,0,0
11/26/2020 16:04,Start-Up,"Yes, Already Used","Exchange rates, Data from other blockchains (e.g. Bitcoin), Financial data",1,0,0,0,0,1,0,1,0,0,0,0,0,7,10,10,1,9,5,10,8,8,Ethereum Spot,0.005 ETH  =  2.28 USD,Instruction sheet,0,0,0,1,0,0,30% p.a.,0,1,0,0,0,0
11/26/2020 22:49,Start-Up,"Maybe, We are unsure","Registry data (e.g., land registry)",0,0,1,0,0,0,0,0,0,0,0,0,0,5,10,10,10,10,10,10,10,10,Ethereum Spot,Fixed USD,"Video, Instruction sheet, Examples",1,0,1,1,0,0,10% p.a.,0,0,0,0,1,0
11/28/2020 13:08,Start-Up,"Yes, Want to Use","Random events, Exchange rates, Data from other blockchains (e.g. Bitcoin), Financial data, Insurable events, Time",1,1,0,1,0,1,1,1,0,0,0,0,0,10,6,10,2,10,10,10,10,10,Bitcoin Advance,Depends,"Video, Instruction sheet",1,0,0,1,0,0,50% p.a. or more,1,0,0,0,0,0
11/30/2020 19:07,Start-Up,"Maybe, We are unsure","Exchange rates, Financial data",0,0,0,0,0,1,0,1,0,0,0,0,0,7,10,9,5,3,2,9,8,10,Ethereum Spot,Depends,Examples,0,0,1,0,0,0,40% p.a.,0,0,1,0,0,0
12/4/2020 8:49,Start-Up,"Maybe, We are unsure",Expert knowledge for political decisions ,0,0,0,0,0,0,0,0,0,0,0,1,0,8,10,10,1,10,8,10,7,10,Bitcoin Advance,Depends,Instruction sheet,0,0,0,1,0,0,Unsure,0,0,0,0,0,1
12/4/2020 18:19,Start-Up,"Maybe, We are unsure","Data from other blockchains (e.g. Bitcoin), Financial data, Registry data (e.g., land registry)",1,0,1,0,0,1,0,0,0,0,0,0,0,8,10,9,4,9,9,10,8,10,Credit Card,0.01 USD,"Video, Instruction sheet, Examples",1,0,1,1,0,0,10% p.a.,0,0,0,0,1,0
12/7/2020 10:45,Start-Up,"Yes, Already Used",Exchange rates,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,10,1,10,9,10,7,7,Ethereum Spot,0.005 ETH  =  2.28 USD,"Video, Examples",1,0,1,0,0,0,40% p.a.,0,0,1,0,0,0
12/14/2020 9:50,Start-Up,"Yes, Already Used","Exchange rates, Financial data, Registry data (e.g., land registry), Oracle sensors (e.g. temp., rain amount, gas dedector)",0,0,1,0,0,1,0,1,0,0,1,0,0,6,5,9,6,7,6,9,5,7,Credit Card,0.05 ETH  =  22.77 USD,"Video, Online chat, Examples",1,1,1,0,0,0,30% p.a.,0,1,0,0,0,0
12/15/2020 9:26,Start-Up,"Yes, Already Used","Exchange rates, Sport events, Any data not produced by the blockchain",0,0,0,0,0,0,0,1,1,1,0,0,0,0,6,10,0,2,4,10,1,0,Ethereum Spot,0.0005 ETH  =  0.23 USD,Examples,0,0,1,0,0,0,10% p.a.,0,0,0,0,1,0
12/15/2020 10:14,Start-Up,"Yes, Want to Use","Exchange rates, Data from other blockchains (e.g. Bitcoin), Financial data",1,0,0,0,0,1,0,1,0,0,0,0,0,2,2,8,8,8,10,8,8,10,Ethereum Spot,0.0005 ETH  =  0.23 USD,Instruction sheet,0,0,0,1,0,0,50% p.a. or more,1,0,0,0,0,0
12/16/2020 0:00,Crypto-Company,"Yes, Already Used","Exchange rates, Data from other blockchains (e.g. Bitcoin), Financial data, Insurable events, Registry data (e.g., land registry)",1,1,1,0,0,1,0,1,0,0,0,0,0,5,10,10,0,10,5,10,0,10,Other Cryptocurrency,0.1 USD in eGold,"Instruction sheet, Examples",0,0,1,1,0,0,50% p.a. or more,1,0,0,0,0,0
12/16/2020 0:19,Start-Up,"Yes, Want to Use","Exchange rates, Financial data, Time",0,0,0,1,0,1,0,1,0,0,0,0,0,5,10,10,5,8,7,10,8,10,Ethereum Advance,0.0005 ETH  =  0.23 USD,"Video, Instruction sheet, Examples",1,0,1,1,0,0,30% p.a.,0,1,0,0,0,0
12/17/2020 16:38,Start-Up,"Maybe, We are unsure",Data from other blockchains (e.g. Bitcoin),1,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,1,10,10,10,10,10,Bitcoin Advance,0.0005 ETH  =  0.23 USD,Examples,0,0,1,0,0,0,20% p.a.,0,0,0,1,0,0
1/7/2021 10:19,Start-Up,"No, but clients use","Data from other blockchains (e.g. Bitcoin), Financial data, Insurable events, Registry data (e.g., land registry), Signal Events relevant to the DL / smart contract business purpose.",1,1,1,0,0,1,0,0,0,0,0,0,1,8,10,10,6,8,3,10,8,9,Ethereum Spot,Depends,"Examples, Live APIs along with demo code for integration purposes",0,0,1,0,0,0,50% p.a. or more,1,0,0,0,0,0
1/7/2021 10:33,Corporation,"No, but clients use","Exchange rates, Financial data, Insurable events, Sport events",0,1,0,0,0,1,0,1,1,0,0,0,0,7,8,10,4,4,7,10,6,6,Ethereum Advance,Depends,Documentation / Specification of their API,0,0,0,0,1,0,20% p.a.,0,0,0,1,0,0
1/7/2021 11:36,Corporation,"Maybe, We are unsure","Exchange rates, Financial data",0,0,0,0,0,1,0,1,0,0,0,0,0,6,3,10,10,5,6,10,10,10,Ethereum Spot,None,good documentation,0,0,0,0,1,0,10% p.a.,0,0,0,0,1,0
1/8/2021 1:22,Crypto-Company,"No, but clients use","Financial data, Time",0,0,0,1,0,1,0,0,0,0,0,0,0,8,8,8,2,6,5,10,5,4,Unsure,N/A,"Instruction sheet, Online chat, Examples, forums, reference docs",0,1,1,1,1,0,"no idea, no curiosity",0,0,0,0,0,1
1/10/2021 11:11,Start-Up,"No, we do not want to use","Insurable events, Time",0,1,0,1,0,0,0,0,0,0,0,0,0,3,6,3,6,3,3,3,6,6,Bitcoin Advance,0.5 ETH  =  227.69 USD,Not learning ,0,0,0,0,0,1,10% p.a.,0,0,0,0,1,0
1/12/2021 5:16,Start-Up,"No, we do not want to use",N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,10,10,10,Ethereum Spot,N/A,"Instruction sheet, Examples",0,0,1,1,0,0,What does this mean?,0,0,0,0,0,1
